id,permissions,role_name
null,school:view,admin
null,school:edit,admin
null,user:view,admin
null,user:edit,admin
null,orgowner:view,admin
null,orgowner:edit,admin
null,school:view,market
null,school:edit,market
null,user:view,market
null,orgowner:view,market
null,orgowner:edit,market
null,school:view,reseller
null,school:edit,reseller
null,orgowner:view,reseller
null,orgowner:edit,reseller
null,user:view,addi_li
null,teacher:edit,org_owner
null,teacher:view,org_owner
null,teacher:view,org_admin
null,student:edit,org_owner
null,student:view,org_owner
null,student:view,org_admin
