id,paperid,quesno,score,answer,answerHas
1,1,1,0,B,2
2,1,2,0,A,1
3,1,3,0,C,4
4,1,4,0,A,1
5,1,5,0,B,2
6,1,6,0,A,1
7,1,7,0,C,4
8,1,8,0,C,4
9,1,9,0,B,2
10,1,10,0,B,2
11,1,11,0,A,1
12,1,12,0,C,4
13,1,13,0,B,2
14,1,14,0,C,4
15,1,15,0,A,1
16,1,16,0,A,1
17,1,17,0,B,2
18,1,18,0,A,1
19,1,19,0,B,2
20,1,20,0,C,4
21,1,21,0,C,4
22,1,22,0,B,2
23,1,23,0,D,8
24,1,32,0,D,8
25,1,33,0,B,2
26,1,34,0,C,4
27,1,35,0,A,1
28,1,41,0,D,8
29,1,42,0,B,2
30,1,43,0,A,1
31,1,44,0,C,4
32,1,45,0,A,1
33,1,46,0,D,8
34,1,47,0,B,2
35,1,48,0,A,1
36,1,49,0,C,4
37,1,50,0,D,8
38,1,51,0,A,1
39,1,52,0,D,8
40,1,53,0,B,2
41,1,54,0,D,8
42,1,55,0,B,2
43,1,56,0,C,4
44,1,57,0,B,2
45,1,58,0,A,1
46,1,59,0,D,8
47,1,60,0,C,4
48,2,1,0,B,2
49,2,2,0,B,2
50,2,3,0,B,2
51,2,4,0,C,4
52,2,5,0,C,4
53,2,6,0,A,1
54,2,7,0,C,4
55,2,8,0,A,1
56,2,9,0,C,4
57,2,11,0,B,2
58,2,12,0,A,1
59,2,13,0,B,2
60,2,14,0,B,2
61,2,15,0,A,1
62,2,16,0,C,4
63,2,17,0,B,2
64,2,18,0,A,1
65,2,19,0,A,1
66,2,20,0,B,2
67,2,21,0,D,8
68,2,22,0,B,2
69,2,23,0,C,4
70,2,24,0,A,1
71,2,25,0,B,2
72,2,26,0,A,1
73,2,27,0,D,8
74,2,28,0,A,1
75,2,29,0,B,2
76,2,30,0,A,1
77,2,31,0,D,8
78,2,32,0,A,1
79,2,33,0,B,2
80,2,34,0,B,2
81,2,35,0,C,4
82,2,36,0,F,32
83,2,37,0,A,1
84,2,38,0,G,64
85,2,39,0,D,8
86,2,40,0,E,16
87,2,41,0,D,8
88,2,42,0,B,2
89,2,43,0,A,1
90,2,44,0,C,4
91,2,45,0,C,4
92,2,46,0,B,2
93,2,47,0,B,2
94,2,48,0,C,4
95,2,49,0,D,8
96,2,50,0,A,1
97,2,51,0,C,4
98,2,52,0,C,4
99,2,53,0,B,2
