id,perm,role_name
NULL,school:view,operator
NULL,school:edit,operator
NULL,user:view,operator
NULL,user:edit,operator
NULL,orgowner:view,operator
NULL,orgowner:edit,operator
NULL,school:view,sales
NULL,school:edit,sales
NULL,user:view,sales
NULL,orgowner:view,sales
NULL,orgowner:edit,sales
NULL,school:view,reseller
NULL,school:edit,reseller
NULL,orgowner:view,reseller
NULL,orgowner:edit,reseller
NULL,teacher:edit,org_owner
NULL,teacher:view,org_owner
NULL,student:edit,org_owner
NULL,student:view,org_owner
NULL,infoschool:view,org_owner
NULL,infoschool:edit,org_owner
NULL,marktask:view,org_owner
NULL,teacher:edit,leader
NULL,teacher:view,leader
NULL,student:edit,leader
NULL,student:view,leader
NULL,infoschool:view,leader
NULL,infoschool:edit,leader
NULL,marktask:view,leader
NULL,infoschool:view,gleader
NULL,teacher:view,gleader
NULL,student:view,gleader
NULL,marktask:view,gleader
NULL,infoschool:view,sleader
NULL,teacher:view,sleader
NULL,student:view,sleader
NULL,marktask:view,sleader
NULL,infoschool:view,pleader
NULL,teacher:view,pleader
NULL,student:view,pleader
NULL,marktask:view,pleader
NULL,infoschool:view,cteacher
NULL,teacher:view,cteacher
NULL,student:view,cteacher
NULL,marktask:view,cteacher
NULL,infoschool:view,teacher
NULL,teacher:view,teacher
NULL,student:view,teacher
NULL,marktask:view,teacher
NULL,excemark:process,cleaner
