id,quesid,quesno,step,type,branch,score,remark
NULL,33,1,0,解答题,不分科,2,NULL
NULL,33,2,0,解答题,不分科,4,NULL
NULL,31,1,0,解答题,不分科,4,NULL
NULL,31,2,0,解答题,不分科,4,NULL
NULL,45,13,0,填空题,不分科,5,NULL
NULL,45,14,0,填空题,不分科,5,NULL
NULL,45,15,0,填空题,不分科,5,NULL
NULL,45,16,0,填空题,不分科,5,NULL
NULL,53,13,0,填空题,不分科,5,NULL
NULL,53,14,0,填空题,不分科,5,NULL
NULL,53,15,0,填空题,不分科,5,NULL
NULL,53,16,0,填空题,不分科,5,NULL
NULL,65,1,0,解答题,不分科,5,NULL
NULL,65,2,0,解答题,不分科,5,NULL
NULL,67,1,0,解答题,不分科,3,NULL
NULL,67,2,0,解答题,不分科,2,NULL
NULL,78,5,0,解答题,不分科,4,NULL
NULL,78,4,0,解答题,不分科,2,NULL
NULL,78,3,0,解答题,不分科,2,NULL
NULL,78,2,0,解答题,不分科,2,NULL
NULL,78,1,0,解答题,不分科,2,NULL
NULL,74,4,0,解答题,不分科,4,NULL
NULL,74,3,0,解答题,不分科,2,NULL
NULL,74,2,0,解答题,不分科,2,NULL
NULL,74,1,0,解答题,不分科,4,NULL
NULL,77,5,0,解答题,不分科,2,NULL
NULL,77,4,0,解答题,不分科,2,NULL
NULL,77,3,0,解答题,不分科,2,NULL
NULL,77,2,0,解答题,不分科,2,NULL
NULL,77,1,0,解答题,不分科,6,NULL
NULL,75,4,0,解答题,不分科,2,NULL
NULL,75,3,0,解答题,不分科,2,NULL
NULL,75,2,0,解答题,不分科,2,NULL
NULL,75,1,0,解答题,不分科,2,NULL
NULL,75,5,0,解答题,不分科,4,NULL
NULL,103,3,0,解答题,不分科,4,NULL
NULL,103,1,0,解答题,不分科,2,NULL
NULL,103,2,0,解答题,不分科,2,NULL
NULL,105,4,0,解答题,不分科,2,NULL
NULL,105,2,0,解答题,不分科,4,NULL
NULL,105,5,0,解答题,不分科,2,NULL
NULL,105,3,0,解答题,不分科,1,NULL
NULL,105,1,0,解答题,不分科,2,NULL
NULL,104,3,0,解答题,不分科,7,NULL
NULL,104,1,0,解答题,不分科,2,NULL
NULL,104,2,0,解答题,不分科,2,NULL
NULL,102,2,0,解答题,不分科,6,NULL
NULL,102,3,0,解答题,不分科,2,NULL
NULL,102,1,0,解答题,不分科,2,NULL
NULL,93,1,0,解答题,不分科,5,NULL
NULL,93,2,0,解答题,不分科,4,NULL
NULL,93,3,0,解答题,不分科,5,NULL
NULL,95,1,0,解答题,不分科,4,NULL
NULL,95,2,0,解答题,不分科,6,NULL
NULL,95,3,0,解答题,不分科,4,NULL
NULL,94,1,0,解答题,不分科,5,NULL
NULL,94,2,0,解答题,不分科,6,NULL
NULL,94,3,0,解答题,不分科,6,NULL
